# Date Updated: 12/18/2015
# Source: http://svo2.cab.inta-csic.es/svo/theory/fps3/index.php?mode=browse&gname=WISE
# Wavelength(nm) Transmission(0-1)
10310.00 0.512680
10320.00 0.511480
10330.00 0.510270
10340.00 0.509070
10350.00 0.509560
10360.00 0.510050
10370.00 0.510540
10380.00 0.511040
10390.00 0.509820
10400.00 0.508600
10410.00 0.507370
10420.00 0.506140
10430.00 0.504910
10440.00 0.501960
10450.00 0.502440
10460.00 0.501200
10470.00 0.501670
10480.00 0.502150
10490.00 0.504360
10500.00 0.506570
10510.00 0.508780
10520.00 0.511000
10530.00 0.511480
10540.00 0.513710
10550.00 0.515930
10560.00 0.518160
10570.00 0.520390
10580.00 0.524370
10590.00 0.526610
10600.00 0.530590
10610.00 0.532840
10620.00 0.535090
10630.00 0.537350
10640.00 0.539600
10650.00 0.541860
10660.00 0.544130
10670.00 0.546400
10680.00 0.550420
10690.00 0.552700
10700.00 0.553220
10710.00 0.555500
10720.00 0.556020
10730.00 0.554770
10740.00 0.553520
10750.00 0.552260
10760.00 0.551000
10770.00 0.549740
10780.00 0.548480
10790.00 0.547210
10800.00 0.547720
10810.00 0.548230
10820.00 0.550510
10830.00 0.552810
10840.00 0.555100
10850.00 0.557400
10860.00 0.559700
10870.00 0.560220
10880.00 0.558940
10890.00 0.557660
10900.00 0.556380
10910.00 0.553300
10920.00 0.550210
10930.00 0.548910
10940.00 0.545810
10950.00 0.542700
10960.00 0.541400
10970.00 0.540080
10980.00 0.538770
10990.00 0.539260
11000.00 0.539750
11010.00 0.540240
11020.00 0.542540
11030.00 0.544850
11040.00 0.547160
11050.00 0.547660
11060.00 0.548160
11070.00 0.546830
11080.00 0.545500
11090.00 0.545990
11100.00 0.544660
11110.00 0.545150
11120.00 0.543810
11130.00 0.544290
11140.00 0.544780
11150.00 0.543440
11160.00 0.543920
11170.00 0.540730
11180.00 0.539380
11190.00 0.536170
11200.00 0.532960
11210.00 0.529750
11220.00 0.526530
11230.00 0.523300
11240.00 0.521910
11250.00 0.520520
11260.00 0.519130
11270.00 0.519590
11280.00 0.521910
11290.00 0.522380
11300.00 0.524700
11310.00 0.527030
11320.00 0.531220
11330.00 0.533550
11340.00 0.535890
11350.00 0.538230
11360.00 0.540580
11370.00 0.541050
11380.00 0.543400
11390.00 0.543880
11400.00 0.546240
11410.00 0.546720
11420.00 0.549070
11430.00 0.551440
11440.00 0.553800
11450.00 0.556170
11460.00 0.558550
11470.00 0.562810
11480.00 0.565190
11490.00 0.569470
11500.00 0.571860
11510.00 0.576140
11520.00 0.580440
11530.00 0.584740
11540.00 0.589050
11550.00 0.593360
11560.00 0.597680
11570.00 0.600100
11580.00 0.602530
11590.00 0.604960
11600.00 0.605480
11610.00 0.607910
11620.00 0.608440
11630.00 0.610880
11640.00 0.611400
11650.00 0.613840
11660.00 0.614370
11670.00 0.616820
11680.00 0.617350
11690.00 0.617880
11700.00 0.618410
11710.00 0.617010
11720.00 0.615600
11730.00 0.612270
11740.00 0.608920
11750.00 0.607510
11760.00 0.604150
11770.00 0.600790
11780.00 0.599360
11790.00 0.597930
11800.00 0.596490
11810.00 0.597000
11820.00 0.595550
11830.00 0.596060
11840.00 0.596560
11850.00 0.595110
11860.00 0.593660
11870.00 0.592210
11880.00 0.590750
11890.00 0.589290
11900.00 0.585870
11910.00 0.584400
11920.00 0.582930
11930.00 0.581450
11940.00 0.579970
11950.00 0.580460
11960.00 0.578980
11970.00 0.579460
11980.00 0.579940
11990.00 0.578450
12000.00 0.578940
12010.00 0.577440
12020.00 0.575940
12030.00 0.574440
12040.00 0.572940
12050.00 0.571430
12060.00 0.567930
12070.00 0.566410
12080.00 0.562910
12090.00 0.563370
12100.00 0.561850
12110.00 0.562310
12120.00 0.562770
12130.00 0.565240
12140.00 0.567700
12150.00 0.570170
12160.00 0.572640
12170.00 0.575120
12180.00 0.577590
12190.00 0.580070
12200.00 0.584570
12210.00 0.585050
12220.00 0.587540
12230.00 0.590030
12240.00 0.590520
12250.00 0.593020
12260.00 0.593500
12270.00 0.593980
12280.00 0.596490
12290.00 0.596980
12300.00 0.599490
12310.00 0.602000
12320.00 0.606550
12330.00 0.611100
12340.00 0.615660
12350.00 0.620220
12360.00 0.624800
12370.00 0.629380
12380.00 0.633960
12390.00 0.640590
12400.00 0.645200
12410.00 0.651850
12420.00 0.658510
12430.00 0.663130
12440.00 0.669810
12450.00 0.674450
12460.00 0.681140
12470.00 0.685800
12480.00 0.690460
12490.00 0.693070
12500.00 0.695680
12510.00 0.698300
12520.00 0.700920
12530.00 0.699410
12540.00 0.699970
12550.00 0.698460
12560.00 0.696950
12570.00 0.695440
12580.00 0.693920
12590.00 0.692400
12600.00 0.692950
12610.00 0.693500
12620.00 0.694050
12630.00 0.696680
12640.00 0.699310
12650.00 0.701940
12660.00 0.704580
12670.00 0.704930
12680.00 0.707580
12690.00 0.708130
12700.00 0.708690
12710.00 0.709250
12720.00 0.709810
12730.00 0.710580
12740.00 0.711130
12750.00 0.711690
12760.00 0.714350
12770.00 0.714910
12780.00 0.717580
12790.00 0.720240
12800.00 0.722910
12810.00 0.725590
12820.00 0.730380
12830.00 0.735170
12840.00 0.739970
12850.00 0.744780
12860.00 0.751710
12870.00 0.756540
12880.00 0.761360
12890.00 0.768320
12900.00 0.771040
12910.00 0.775890
12920.00 0.778620
12930.00 0.781350
12940.00 0.781960
12950.00 0.784690
12960.00 0.785300
12970.00 0.783770
12980.00 0.784370
12990.00 0.784980
13000.00 0.785580
13010.00 0.786190
13020.00 0.786790
13030.00 0.789540
13040.00 0.792290
13050.00 0.795050
13060.00 0.797810
13070.00 0.802730
13080.00 0.809800
13090.00 0.814730
13100.00 0.821820
13110.00 0.828930
13120.00 0.836040
13130.00 0.843160
13140.00 0.848130
13150.00 0.855270
13160.00 0.862430
13170.00 0.867420
13180.00 0.872420
13190.00 0.877420
13200.00 0.882430
13210.00 0.887450
13220.00 0.890300
13230.00 0.893150
13240.00 0.896010
13250.00 0.898870
13260.00 0.901730
13270.00 0.904590
13280.00 0.905280
13290.00 0.905960
13300.00 0.906640
13310.00 0.907320
13320.00 0.905810
13330.00 0.904290
13340.00 0.900580
13350.00 0.899060
13360.00 0.897530
13370.00 0.893800
13380.00 0.892260
13390.00 0.890730
13400.00 0.889190
13410.00 0.889850
13420.00 0.890510
13430.00 0.891180
13440.00 0.891840
13450.00 0.894720
13460.00 0.895380
13470.00 0.898270
13480.00 0.898930
13490.00 0.901820
13500.00 0.902490
13510.00 0.903160
13520.00 0.903830
13530.00 0.904500
13540.00 0.905160
13550.00 0.905830
13560.00 0.906500
13570.00 0.909400
13580.00 0.910070
13590.00 0.912980
13600.00 0.913650
13610.00 0.916570
13620.00 0.917240
13630.00 0.920160
13640.00 0.920830
13650.00 0.921510
13660.00 0.919930
13670.00 0.920610
13680.00 0.919030
13690.00 0.917450
13700.00 0.915860
13710.00 0.914270
13720.00 0.912680
13730.00 0.911080
13740.00 0.909480
13750.00 0.907880
13760.00 0.908540
13770.00 0.909200
13780.00 0.909860
13790.00 0.910520
13800.00 0.913460
13810.00 0.914120
13820.00 0.917060
13830.00 0.920000
13840.00 0.920660
13850.00 0.921330
13860.00 0.924270
13870.00 0.924940
13880.00 0.925610
13890.00 0.926270
13900.00 0.926940
13910.00 0.929900
13920.00 0.930570
13930.00 0.931240
13940.00 0.934200
13950.00 0.937170
13960.00 0.940140
13970.00 0.943110
13980.00 0.946090
13990.00 0.949070
14000.00 0.954360
14010.00 0.957350
14020.00 0.960340
14030.00 0.963330
14040.00 0.966330
14050.00 0.967020
14060.00 0.970020
14070.00 0.970710
14080.00 0.969080
14090.00 0.969770
14100.00 0.968140
14110.00 0.968830
14120.00 0.967190
14130.00 0.965550
14140.00 0.966230
14150.00 0.966910
14160.00 0.965260
14170.00 0.968280
14180.00 0.968960
14190.00 0.971980
14200.00 0.972670
14210.00 0.975690
14220.00 0.978720
14230.00 0.979410
14240.00 0.982440
14250.00 0.983130
14260.00 0.983820
14270.00 0.982160
14280.00 0.980500
14290.00 0.981180
14300.00 0.979520
14310.00 0.977850
14320.00 0.978530
14330.00 0.976850
14340.00 0.977530
14350.00 0.978220
14360.00 0.981260
14370.00 0.981950
14380.00 0.985000
14390.00 0.988050
14400.00 0.991110
14410.00 0.991800
14420.00 0.994860
14430.00 0.997930
14440.00 0.998620
14450.00 0.999310
14460.00 1.000000
14470.00 0.998310
14480.00 0.996610
14490.00 0.994920
14500.00 0.993220
14510.00 0.991510
14520.00 0.989800
14530.00 0.988090
14540.00 0.986380
14550.00 0.984660
14560.00 0.982940
14570.00 0.981220
14580.00 0.979490
14590.00 0.977760
14600.00 0.976030
14610.00 0.974290
14620.00 0.972550
14630.00 0.970800
14640.00 0.969060
14650.00 0.967310
14660.00 0.965550
14670.00 0.963800
14680.00 0.962040
14690.00 0.962690
14700.00 0.960930
14710.00 0.961580
14720.00 0.959810
14730.00 0.960460
14740.00 0.958690
14750.00 0.959340
14760.00 0.959990
14770.00 0.958210
14780.00 0.956420
14790.00 0.954630
14800.00 0.952840
14810.00 0.953490
14820.00 0.949250
14830.00 0.947450
14840.00 0.945640
14850.00 0.943840
14860.00 0.942020
14870.00 0.940210
14880.00 0.938390
14890.00 0.936570
14900.00 0.934750
14910.00 0.932920
14920.00 0.931090
14930.00 0.926790
14940.00 0.924960
14950.00 0.923110
14960.00 0.918800
14970.00 0.916950
14980.00 0.915100
14990.00 0.910770
15000.00 0.908910
15010.00 0.907050
15020.00 0.905180
15030.00 0.903300
15040.00 0.901430
15050.00 0.899550
15060.00 0.897670
15070.00 0.895780
15080.00 0.893890
15090.00 0.892000
15100.00 0.887620
15110.00 0.885720
15120.00 0.883820
15130.00 0.879420
15140.00 0.875010
15150.00 0.870600
15160.00 0.866190
15170.00 0.859260
15180.00 0.852330
15190.00 0.845390
15200.00 0.838440
15210.00 0.831480
15220.00 0.822000
15230.00 0.815020
15240.00 0.805510
15250.00 0.798510
15260.00 0.791490
15270.00 0.781960
15280.00 0.774920
15290.00 0.767870
15300.00 0.760820
15310.00 0.753750
15320.00 0.749200
15330.00 0.742120
15340.00 0.735020
15350.00 0.727920
15360.00 0.720810
15370.00 0.713680
15380.00 0.706800
15390.00 0.699660
15400.00 0.692510
15410.00 0.685350
15420.00 0.678170
15430.00 0.673280
15440.00 0.666090
15450.00 0.661430
15460.00 0.659310
15470.00 0.654650
15480.00 0.652520
15490.00 0.650390
15500.00 0.648260
15510.00 0.648680
15520.00 0.649090
15530.00 0.646960
15540.00 0.647370
15550.00 0.647790
15560.00 0.648210
15570.00 0.648620
15580.00 0.651600
15590.00 0.652020
15600.00 0.652440
15610.00 0.652860
15620.00 0.655850
15630.00 0.656270
15640.00 0.659260
