# $LastChangedRevision$
# $Id$
# SDSS throughput curves from http://www.sdss.org/dr3/instruments/imager/index.html#filters
# Wavelength(nm)  Transmission(0-1)
538 0.0000
540.5 0.0014
543 0.0099
545.5 0.0259
548 0.0497
550.5 0.0807
553 0.1186
555.5 0.1625
558 0.2093
560.5 0.2555
563 0.2975
565.5 0.3326
568 0.3609
570.5 0.3834
573 0.4010
575.5 0.4147
578 0.4253
580.5 0.4333
583 0.4395
585.5 0.4446
588 0.4489
590.5 0.4527
593 0.4563
595.5 0.4599
598 0.4634
600.5 0.4665
603 0.4689
605.5 0.4703
608 0.4711
610.5 0.4717
613 0.4727
615.5 0.4744
618 0.4767
620.5 0.4792
623 0.4819
625.5 0.4844
628 0.4867
630.5 0.4887
633 0.4902
635.5 0.4909
638 0.4912
640.5 0.4912
643 0.4912
645.5 0.4914
648 0.4915
650.5 0.4912
653 0.4901
655.5 0.4878
658 0.4852
660.5 0.4818
663 0.4697
665.5 0.4421
668 0.4009
670.5 0.3499
673 0.2924
675.5 0.2318
678 0.1715
680.5 0.1152
683 0.0687
685.5 0.0380
688 0.0212
690.5 0.0134
693 0.0099
695.5 0.0076
698 0.0055
700.5 0.0039
703 0.0027
705.5 0.0020
708 0.0015
710.5 0.0012
713 0.0010
715.5 0.0007
718 0.0004
720.5 0.0002
723 0.0000
