# $LastChangedRevision$
# $Id$
# SDSS throughput curves from http://www.sdss.org/dr3/instruments/imager/index.html#filters
# Wavelength(nm)  Transmission(0-1)
643 0.0000
645.5 0.0001
648 0.0003
650.5 0.0004
653 0.0004
655.5 0.0003
658 0.0003
660.5 0.0004
663 0.0009
665.5 0.0019
668 0.0034
670.5 0.0056
673 0.0103
675.5 0.0194
678 0.0344
680.5 0.0561
683 0.0839
685.5 0.1164
688 0.1528
690.5 0.1948
693 0.2408
695.5 0.2857
698 0.3233
700.5 0.3503
703 0.3759
705.5 0.3990
708 0.4162
710.5 0.4233
713 0.4165
715.5 0.3943
718 0.3760
720.5 0.3823
723 0.3918
725.5 0.3892
728 0.3828
730.5 0.3820
733 0.3884
735.5 0.3872
738 0.3821
740.5 0.3787
743 0.3759
745.5 0.3727
748 0.3681
750.5 0.3618
753 0.3565
755.5 0.3554
758 0.3478
760.5 0.1473
763 0.2096
765.5 0.2648
768 0.3300
770.5 0.3256
773 0.3223
775.5 0.3179
778 0.3129
780.5 0.3077
783 0.3026
785.5 0.2980
788 0.2944
790.5 0.2921
793 0.2916
795.5 0.2921
798 0.2927
800.5 0.2923
803 0.2896
805.5 0.2840
808 0.2758
810.5 0.2642
813 0.2427
815.5 0.2091
818 0.1689
820.5 0.1276
823 0.0901
825.5 0.0603
828 0.0378
830.5 0.0218
833 0.0117
835.5 0.0068
838 0.0048
840.5 0.0033
843 0.0020
845.5 0.0013
848 0.0010
850.5 0.0009
853 0.0009
855.5 0.0008
858 0.0005
860.5 0.0002
863 0.0000
