# $LastChangedRevision$
# $Id$
# SDSS throughput curves from http://www.sdss.org/dr3/instruments/imager/index.html#filters
# Wavelength(nm)  Transmission(0-1)
298 0.0727
300.5 0.0992
303 0.1308
305.5 0.1673
308 0.2075
310.5 0.2470
313 0.2862
315.5 0.3444
318 0.3920
320.5 0.4300
323 0.4585
325.5 0.4817
328 0.5007
330.5 0.5189
333 0.5351
335.5 0.5486
338 0.5581
340.5 0.5669
343 0.5727
345.5 0.5812
348 0.5959
350.5 0.6112
353 0.6221
355.5 0.6294
358 0.6350
360.5 0.6406
363 0.6476
365.5 0.6553
368 0.6631
370.5 0.6702
373 0.6763
375.5 0.6815
378 0.6863
380.5 0.6912
383 0.6965
385.5 0.7023
388 0.7088
390.5 0.7158
393 0.7235
395.5 0.7315
398 0.7393
400.5 0.7464
403 0.7526
405.5 0.7581
408 0.7631
410.5 0.7680
413 0.7727
415.5 0.7774
418 0.7820
420.5 0.7862
423 0.7902
425.5 0.7940
428 0.7976
430.5 0.8013
433 0.8049
435.5 0.8087
438 0.8124
440.5 0.8161
443 0.8199
445.5 0.8235
448 0.8271
450.5 0.8305
453 0.8337
455.5 0.8368
458 0.8397
460.5 0.8425
463 0.8453
465.5 0.8480
468 0.8505
470.5 0.8528
473 0.8549
475.5 0.8568
478 0.8587
480.5 0.8606
483 0.8625
485.5 0.8643
488 0.8661
490.5 0.8678
493 0.8693
495.5 0.8706
498 0.8719
500.5 0.8730
503 0.8740
505.5 0.8750
508 0.8759
510.5 0.8768
513 0.8777
515.5 0.8785
518 0.8794
520.5 0.8803
523 0.8813
525.5 0.8822
528 0.8832
530.5 0.8842
533 0.8852
535.5 0.8861
538 0.8869
540.5 0.8877
543 0.8885
545.5 0.8891
548 0.8897
550.5 0.8902
553 0.8907
555.5 0.8911
558 0.8914
560.5 0.8917
563 0.8920
565.5 0.8923
568 0.8926
570.5 0.8929
573 0.8933
575.5 0.8938
578 0.8945
580.5 0.8952
583 0.8962
585.5 0.8973
588 0.8986
590.5 0.9001
593 0.9018
595.5 0.9037
598 0.9057
600.5 0.9079
603 0.9103
605.5 0.9128
608 0.9153
610.5 0.9177
613 0.9199
615.5 0.9220
618 0.9238
620.5 0.9253
623 0.9265
625.5 0.9275
628 0.9285
630.5 0.9294
633 0.9305
635.5 0.9316
638 0.9327
640.5 0.9337
643 0.9346
645.5 0.9354
648 0.9363
650.5 0.9373
653 0.9385
655.5 0.9395
658 0.9400
660.5 0.9398
663 0.9386
665.5 0.9366
668 0.9349
670.5 0.9345
673 0.9366
675.5 0.9421
678 0.9492
680.5 0.9494
683 0.9334
685.5 0.9057
688 0.8862
690.5 0.8893
693 0.9083
695.5 0.9311
698 0.9450
700.5 0.9464
703 0.9561
705.5 0.9709
708 0.9826
710.5 0.9827
713 0.9629
715.5 0.9192
718 0.8849
720.5 0.8974
723 0.9182
725.5 0.9195
728 0.9153
730.5 0.9225
733 0.9436
735.5 0.9505
738 0.9496
740.5 0.9512
743 0.9531
745.5 0.9535
748 0.9508
750.5 0.9449
753 0.9416
755.5 0.9483
758 0.9429
760.5 0.4926
763 0.6546
765.5 0.7939
768 0.9530
770.5 0.9558
773 0.9602
775.5 0.9615
778 0.9605
780.5 0.9583
783 0.9559
785.5 0.9541
788 0.9541
790.5 0.9567
793 0.9622
795.5 0.9692
798 0.9762
800.5 0.9814
803 0.9833
805.5 0.9801
808 0.9702
810.5 0.9524
813 0.9285
815.5 0.9075
818 0.8931
820.5 0.8853
823 0.8843
825.5 0.8902
828 0.9033
830.5 0.9242
833 0.9483
835.5 0.9591
838 0.9576
840.5 0.9567
843 0.9564
845.5 0.9565
848 0.9569
850.5 0.9576
853 0.9584
855.5 0.9592
858 0.9598
860.5 0.9602
863 0.9603
865.5 0.9599
868 0.9593
870.5 0.9586
873 0.9578
875.5 0.9571
878 0.9567
880.5 0.9566
883 0.9571
885.5 0.9582
888 0.9600
890.5 0.9591
893 0.9314
895.5 0.8923
898 0.8648
900.5 0.8633
903 0.8787
905.5 0.8961
908 0.9020
910.5 0.8980
913 0.8931
915.5 0.8962
918 0.9138
920.5 0.9352
923 0.9407
925.5 0.9103
928 0.8345
930.5 0.7441
933 0.6752
935.5 0.6524
938 0.6794
940.5 0.7178
943 0.7184
945.5 0.6897
948 0.7003
950.5 0.7214
953 0.7147
955.5 0.7251
958 0.7594
960.5 0.7923
963 0.8302
965.5 0.8766
968 0.9150
970.5 0.9253
973 0.9059
975.5 0.8947
978 0.9045
980.5 0.9262
983 0.9500
985.5 0.9652
988 0.9656
990.5 0.9642
993 0.9630
995.5 0.9618
998 0.9607
1000.5 0.9597
1003 0.9588
1005.5 0.9579
1008 0.9572
1010.5 0.9565
1013 0.9559
1015.5 0.9553
1018 0.9549
1020.5 0.9545
1023 0.9541
1025.5 0.9539
1028 0.9537
1030.5 0.9535
1033 0.9534
1035.5 0.9534
1038 0.9534
1040.5 0.9535
1043 0.9536
1045.5 0.9537
1048 0.9539
1050.5 0.9541
1053 0.9544
1055.5 0.9547
1058 0.9551
1060.5 0.9554
1063 0.9558
1065.5 0.9563
1068 0.9567
1070.5 0.9572
1073 0.9577
1075.5 0.9582
1078 0.9587
1080.5 0.9593
1083 0.9598
1085.5 0.9604
1088 0.9609
1090.5 0.9615
1093 0.9621
1095.5 0.9626
1098 0.9632
1100.5 0.9638
1103 0.9643
1105.5 0.9648
1108 0.9654
1110.5 0.9659
1113 0.9664
1115.5 0.9669
1118 0.9673
1120.5 0.9677
1123 0.9682
